id,temperature,pressure,altitude,soilmoisture,note,status,class,date,time
1,29.1,9984.53,-12.21,377,0,0,Very Dry,08-10-2022,22:06:24
2,29.08,9984.36,-12.22,379,0,0,Very Dry,08-10-2022,22:06:24
3,29.06,9984.56,-12.2,376,0,0,Very Dry,08-10-2022,22:06:24
4,29.05,9984.39,-12.22,377,0,0,Very Dry,08-10-2022,22:06:24
5,29.03,9984.42,-12.21,379,0,0,Very Dry,08-10-2022,22:06:24
6,29.02,9984.59,-12.2,376,0,0,Very Dry,08-10-2022,22:06:24
7,29,9984.42,-12.21,380,0,0,Very Dry,08-10-2022,22:06:24
8,28.99,9984.27,-12.23,380,0,0,Very Dry,08-10-2022,22:06:24
9,28.97,9984.1,-12.24,380,0,0,Very Dry,08-10-2022,22:06:24
10,28.96,9984.1,-12.24,379,0,0,Very Dry,08-10-2022,22:06:24
11,28.95,9984.3,-12.23,379,0,0,Very Dry,08-10-2022,22:06:24
12,28.94,9984.13,-12.24,378,0,0,Very Dry,08-10-2022,22:06:24
13,28.92,9983.98,-12.25,379,0,0,Very Dry,08-10-2022,22:06:24
14,28.91,9984.16,-12.24,382,0,0,Very Dry,08-10-2022,22:06:24
15,28.9,9983.98,-12.25,380,0,0,Very Dry,08-10-2022,22:06:24
16,28.89,9984.16,-12.24,379,0,0,Very Dry,08-10-2022,22:06:24
17,28.88,9983.98,-12.25,381,0,0,Very Dry,08-10-2022,22:06:24
18,28.87,9983.98,-12.25,376,0,0,Very Dry,08-10-2022,22:06:24
19,28.86,9983.66,-12.28,377,0,0,Very Dry,08-10-2022,22:06:24
20,28.85,9984.01,-12.25,381,0,0,Very Dry,08-10-2022,22:06:24
21,28.83,9983.69,-12.28,380,0,0,Very Dry,08-10-2022,22:06:24
22,28.82,9983.34,-12.31,381,0,0,Very Dry,08-10-2022,22:06:24
23,28.81,9982.83,-12.35,384,0,0,Very Dry,08-10-2022,22:06:24
24,28.8,9982.52,-12.38,383,0,0,Very Dry,08-10-2022,22:06:24
25,28.79,9982.52,-12.38,385,0,0,Very Dry,08-10-2022,22:06:24
26,28.79,9982.17,-12.4,383,0,0,Very Dry,08-10-2022,22:06:24
27,28.78,9981.97,-12.42,382,0,0,Very Dry,08-10-2022,22:06:24
28,28.77,9981.83,-12.43,383,0,0,Very Dry,08-10-2022,22:06:24
29,28.77,9982,-12.42,382,0,0,Very Dry,08-10-2022,22:06:24
30,28.76,9981.83,-12.43,381,0,0,Very Dry,08-10-2022,22:06:24
31,28.75,9981.48,-12.46,382,0,0,Very Dry,08-10-2022,22:06:24
32,28.75,9981.66,-12.45,380,0,0,Very Dry,08-10-2022,22:06:24
33,28.74,9981.68,-12.45,383,0,0,Very Dry,08-10-2022,22:06:24
34,28.74,9982.02,-12.42,389,0,0,Very Dry,08-10-2022,22:06:24
35,28.73,9982.02,-12.42,320,1,0,Dry,08-10-2022,22:06:24
36,28.73,9982.02,-12.42,284,1,0,Dry,08-10-2022,22:06:24
37,28.82,9981.97,-12.42,250,2,1,Wet,08-10-2022,22:06:24
38,29.08,9982.14,-12.41,205,2,1,Wet,08-10-2022,22:06:24
39,29.4,9983.11,-12.33,188,3,1,Very Wet,08-10-2022,22:06:24
40,29.7,9983.69,-12.28,183,3,1,Very Wet,08-10-2022,22:06:24
41,29.92,9983.96,-12.25,181,3,1,Very Wet,08-10-2022,22:06:24
42,30.09,9984.13,-12.24,180,3,1,Very Wet,08-10-2022,22:06:24
43,30.21,9984.14,-12.24,180,3,1,Very Wet,08-10-2022,22:06:24
44,30.3,9984.55,-12.2,179,3,1,Very Wet,08-10-2022,22:06:24
45,30.36,9984.66,-12.2,177,3,1,Very Wet,08-10-2022,22:06:24
46,30.4,9984.95,-12.17,178,3,1,Very Wet,08-10-2022,22:06:24
47,30.42,9984.91,-12.17,177,3,1,Very Wet,08-10-2022,22:06:24
48,30.43,9984.56,-12.2,177,3,1,Very Wet,08-10-2022,22:06:24
49,30.43,9984.73,-12.19,176,3,1,Very Wet,08-10-2022,22:06:24
50,30.43,9984.4,-12.22,178,3,1,Very Wet,08-10-2022,22:06:24
51,30.41,9984.23,-12.23,176,3,1,Very Wet,08-10-2022,22:06:24
52,30.39,9984.61,-12.2,177,3,1,Very Wet,08-10-2022,22:06:24
53,30.37,9984.83,-12.18,177,3,1,Very Wet,08-10-2022,22:06:24
54,30.34,9984.84,-12.18,176,3,1,Very Wet,08-10-2022,22:06:24
55,30.31,9984.89,-12.18,176,3,1,Very Wet,08-10-2022,22:06:24
56,30.28,9984.77,-12.19,176,3,1,Very Wet,08-10-2022,22:06:24
57,30.24,9984.61,-12.2,176,3,1,Very Wet,08-10-2022,22:06:24
58,30.2,9984.85,-12.18,176,3,1,Very Wet,08-10-2022,22:06:24
59,30.17,9984.9,-12.17,175,3,1,Very Wet,08-10-2022,22:06:24
60,30.13,9984.77,-12.19,175,3,1,Very Wet,08-10-2022,22:06:24
61,30.12,9984.78,-12.18,176,3,1,Very Wet,08-10-2022,22:06:24
62,30.08,9984.65,-12.2,174,3,1,Very Wet,08-10-2022,22:06:24
63,30.05,9984.52,-12.21,175,3,1,Very Wet,08-10-2022,22:06:24
64,30.01,9984.36,-12.22,174,3,1,Very Wet,08-10-2022,22:06:24
65,29.98,9984.26,-12.23,176,3,1,Very Wet,08-10-2022,22:06:24
66,29.94,9984.13,-12.24,175,3,1,Very Wet,08-10-2022,22:06:24
67,29.91,9984.17,-12.24,174,3,1,Very Wet,08-10-2022,22:06:24
68,29.88,9983.84,-12.26,175,3,1,Very Wet,08-10-2022,22:06:24
69,29.84,9983.88,-12.26,175,3,1,Very Wet,08-10-2022,22:06:24
